Date,Open,High,Low,Close,Volume
2015-05-11,404.31,423.83,397.6,408.38,9525380
2015-05-12,324.51,327.02,312.21,321.81,6288171
2015-05-13,408.39,408.73,389.85,403.29,9209093
2015-05-14,297.52,312.92,278.28,284.46,7507419
2015-05-15,309.09,325.24,298.91,301.01,6368492
2015-05-18,271.02,273.42,261.96,272.74,7281102
2015-05-19,110.17,115.48,104.59,107.43,7709332
2015-05-20,143.16,143.51,123.98,140.64,7333538
2015-05-21,112.57,118.44,109.72,117.25,3244482
2015-05-22,354.56,370.03,342.97,363.87,1627901
2015-05-25,225.74,236.1,220.09,222.79,3981899
2015-05-26,303.43,310.39,297.85,308.16,7386676
2015-05-27,463.03,470.46,454.93,466.88,2588253
2015-05-28,199.72,199.74,179.74,191.68,1683045
2015-05-29,264.15,270.15,263.05,265.45,5216101
2015-06-01,402.22,415.15,390.65,397.08,9238439
2015-06-02,191.52,211.0,189.87,192.44,7882076
2015-06-03,130.79,147.73,127.7,137.91,9844731
2015-06-04,215.9,216.37,207.11,212.53,3039282
2015-06-05,164.49,182.46,154.28,164.41,1661944
2015-06-08,471.88,487.54,466.7,476.61,5650635
2015-06-09,423.25,438.86,416.92,424.89,1017903
2015-06-10,353.36,362.52,351.62,358.61,8100883
2015-06-11,448.58,456.54,442.52,455.16,2661241
2015-06-12,421.47,427.53,402.14,406.3,9758164
2015-06-15,174.63,175.94,155.73,163.44,2401170
2015-06-16,457.02,461.59,450.33,451.91,8712254
2015-06-17,315.74,320.67,304.32,314.54,3685293
2015-06-18,422.98,432.66,404.78,425.1,7444861
2015-06-19,458.44,473.39,458.31,472.36,6819610
2015-06-22,227.2,236.68,210.99,218.15,5608474
2015-06-23,144.02,145.18,125.05,144.18,9922571
2015-06-24,191.17,210.33,189.35,190.67,3114336
2015-06-25,270.84,289.7,267.61,280.93,6028699
2015-06-26,427.21,442.91,407.99,409.99,3888851
2015-06-29,444.29,464.12,433.54,460.87,5378023
2015-06-30,102.78,113.67,102.5,108.42,6239522
2015-07-01,304.3,323.55,299.15,315.48,6016761
2015-07-02,266.96,268.48,257.97,266.71,3436901
2015-07-03,188.84,196.16,174.98,178.17,7947797
2015-07-06,147.95,152.45,133.28,134.02,5868136
2015-07-07,235.05,238.96,215.14,236.08,9539016
2015-07-08,477.16,479.98,471.41,474.11,6923827
2015-07-09,229.28,241.73,218.52,221.51,5156094
2015-07-10,307.52,323.14,296.85,309.17,3050126
2015-07-13,381.21,392.77,373.09,384.87,6231308
2015-07-14,245.45,248.39,242.07,242.26,7213397
2015-07-15,488.71,504.94,469.16,479.0,2955599
2015-07-16,484.98,497.7,467.91,468.89,7638111
2015-07-17,200.71,208.48,190.75,198.2,5728257
2015-07-20,298.9,312.38,286.83,309.7,8169165
2015-07-21,220.35,225.55,215.81,225.38,3515553
2015-07-22,213.94,220.84,203.06,214.39,9647991
2015-07-23,114.75,133.1,100.86,106.07,1176682
2015-07-24,343.83,349.64,333.52,348.12,3016987
2015-07-27,301.07,310.47,281.27,296.34,3909419
2015-07-28,120.59,138.39,108.36,112.98,9485061
2015-07-29,211.46,225.61,204.04,223.92,1578078
2015-07-30,463.31,464.55,447.86,460.5,9797057
2015-07-31,195.82,198.77,192.42,197.07,9965171
2015-08-03,157.96,158.11,150.27,155.83,3566436
2015-08-04,295.78,308.4,288.84,292.76,7118313
2015-08-05,494.26,503.21,485.62,489.34,4822379
2015-08-06,196.82,199.51,181.19,193.8,4450320
2015-08-07,368.85,388.01,359.17,365.51,4045236
2015-08-10,404.65,415.24,388.77,400.38,5810277
2015-08-11,195.06,199.89,183.53,196.32,9137083
2015-08-12,391.29,401.3,384.45,397.66,7032861
2015-08-13,247.11,260.71,230.91,244.42,3552387
2015-08-14,352.92,354.45,348.16,353.14,4636402
2015-08-17,353.41,358.91,348.92,357.3,1493496
2015-08-18,314.31,330.45,304.22,321.39,2519493
2015-08-19,136.12,145.31,130.9,134.19,5164026
2015-08-20,434.12,445.05,433.94,436.98,4714779
2015-08-21,228.31,236.97,215.35,222.15,2200413
2015-08-24,174.61,175.49,164.39,165.68,1831219
2015-08-25,116.31,119.63,107.4,110.74,2955683
2015-08-26,336.36,345.27,317.02,322.94,6250305
2015-08-27,371.03,375.21,359.6,366.71,9663609
2015-08-28,106.64,107.63,89.37,105.96,6426723
2015-08-31,304.84,321.71,302.05,304.1,6598023
2015-09-01,190.6,210.22,179.21,201.55,6808625
2015-09-02,358.07,373.93,340.71,363.54,5929405
2015-09-03,169.75,186.82,158.08,160.84,5724044
2015-09-04,376.38,381.21,362.01,379.73,5305457
2015-09-07,254.69,273.91,247.25,262.4,7068174
2015-09-08,474.69,478.63,472.84,474.95,7483999
2015-09-09,155.01,174.04,145.85,167.17,4083873
2015-09-10,236.43,256.32,228.54,235.69,2329020
2015-09-11,145.39,159.62,128.05,149.95,9267102
2015-09-14,469.88,489.5,465.0,465.97,1400717
2015-09-15,450.94,462.33,431.6,457.39,4147573
2015-09-16,203.18,208.37,184.01,194.93,8117069
2015-09-17,363.99,372.73,359.04,367.76,7741935
2015-09-18,426.89,438.76,419.93,424.09,7006172
2015-09-21,322.08,323.54,304.17,317.29,1996270
2015-09-22,311.86,324.31,292.53,317.07,9058430
2015-09-23,196.74,216.36,187.87,201.36,4393416
2015-09-24,137.24,141.04,130.82,137.14,3655844
2015-09-25,458.89,474.74,448.36,460.4,2595428
2015-09-28,460.17,478.33,446.41,474.95,1974939
2015-09-29,353.24,372.11,347.77,359.89,6338139
2015-09-30,235.61,254.81,220.88,249.45,5634995
2015-10-01,239.68,250.11,238.65,247.84,8357247
2015-10-02,390.38,409.93,389.4,397.82,4928408
2015-10-05,458.84,473.99,451.12,456.38,7362530
2015-10-06,454.83,458.07,447.77,451.95,8221414
2015-10-07,411.95,421.49,405.64,418.73,2752153
2015-10-08,356.81,371.18,346.99,352.5,7398215
2015-10-09,133.66,138.6,127.24,133.2,2856719
2015-10-12,164.65,177.46,160.81,174.23,2456851
2015-10-13,459.42,472.75,453.23,460.13,6815566
2015-10-14,342.57,345.83,323.07,337.69,6408249
2015-10-15,103.68,114.98,95.46,100.25,8579349
2015-10-16,140.59,156.02,131.69,134.35,4827573
2015-10-19,365.4,375.38,353.87,370.96,6564991
2015-10-20,102.02,102.27,82.36,84.33,2932811
2015-10-21,164.32,164.5,159.49,160.85,6372625
2015-10-22,319.49,326.63,305.87,323.63,5248887
2015-10-23,376.76,395.28,362.44,373.82,2696941
2015-10-26,360.78,365.36,348.64,364.91,1444846
2015-10-27,189.71,202.39,187.94,202.1,2159935
2015-10-28,384.87,389.31,371.33,376.16,5866148
2015-10-29,194.9,201.33,193.62,193.93,5822724
2015-10-30,230.16,247.12,218.24,238.6,4204991
2015-11-02,398.6,413.17,383.8,397.05,6101210
2015-11-03,359.85,361.76,355.63,356.25,4484840
2015-11-04,439.69,448.26,422.86,440.83,7688064
2015-11-05,363.05,363.63,362.44,362.48,7746929
2015-11-06,327.32,336.94,310.45,333.5,3921984
2015-11-09,137.47,150.72,128.26,131.38,6137273
2015-11-10,247.09,249.46,242.73,243.59,8427925
2015-11-11,206.08,211.86,203.41,204.89,1008981
2015-11-12,197.6,205.55,178.53,204.48,4559976
2015-11-13,489.2,507.59,487.75,501.51,7607691
2015-11-16,257.24,277.1,253.26,272.37,1107154
2015-11-17,456.82,457.72,449.86,452.99,8626584
2015-11-18,352.46,367.68,340.05,349.34,2728177
2015-11-19,417.92,425.36,407.03,411.33,8816186
2015-11-20,301.05,308.9,298.54,303.52,3904814
2015-11-23,330.76,345.85,324.97,336.49,1936184
2015-11-24,297.01,315.38,292.23,306.85,3706171
2015-11-25,178.1,197.12,173.83,179.81,5141747
2015-11-26,388.98,400.52,380.76,399.51,5857531
2015-11-27,212.31,219.45,198.23,201.83,9073934
2015-11-30,109.73,125.48,105.38,124.79,6199895
2015-12-01,358.19,363.21,350.86,351.04,4443737
2015-12-02,170.84,182.13,163.03,172.22,1722300
2015-12-03,476.18,483.36,456.65,465.56,3135021
2015-12-04,481.57,494.7,462.48,476.95,8538009
2015-12-07,465.95,470.75,449.94,461.82,5692489
2015-12-08,248.06,251.9,243.23,247.0,4246797
2015-12-09,106.18,124.55,104.82,113.0,6070447
2015-12-10,471.33,473.36,464.99,471.13,4487258
2015-12-11,271.27,281.39,265.94,276.54,6268681
2015-12-14,486.66,491.08,476.54,488.66,7275080
2015-12-15,485.45,486.23,469.89,473.98,7606870
2015-12-16,441.2,441.92,424.04,434.94,4610566
2015-12-17,217.78,221.28,200.88,212.82,1768026
2015-12-18,254.04,271.37,246.85,255.91,5926423
2015-12-21,440.45,446.1,426.71,436.14,7307676
2015-12-22,226.77,245.78,220.51,228.44,8818835
2015-12-23,167.8,179.43,166.58,168.4,1395462
2015-12-24,322.72,331.45,308.69,313.56,1148306
2015-12-25,474.46,486.06,474.27,475.51,4785811
2015-12-28,378.41,388.75,370.23,382.88,5636971
2015-12-29,328.02,343.2,321.44,335.82,4006374
2015-12-30,138.87,144.52,125.0,143.56,7416679
2015-12-31,346.0,353.06,330.68,347.01,1522886
2016-01-01,496.02,513.9,489.94,491.19,1599493
2016-01-04,156.03,174.96,139.8,170.89,6243962
2016-01-05,307.33,325.18,301.45,321.92,6647244
2016-01-06,450.95,459.34,442.02,449.7,6401446
2016-01-07,396.31,411.91,381.77,399.43,6055829
2016-01-08,378.81,388.33,364.95,387.77,9367568
2016-01-11,380.99,390.94,361.25,377.05,5176213
2016-01-12,243.8,247.89,239.29,247.08,5243041
2016-01-13,217.44,229.26,204.19,206.27,4840624
2016-01-14,423.74,427.47,411.55,414.59,8784081
2016-01-15,424.05,430.68,405.74,416.73,5786431
2016-01-18,446.83,463.93,443.7,455.53,9341353
2016-01-19,465.3,469.44,450.26,465.91,9476353
2016-01-20,304.54,305.96,293.17,305.81,9514906
2016-01-21,300.61,301.99,295.11,297.79,7909453
2016-01-22,419.32,438.13,409.83,411.17,4777268
2016-01-25,359.99,370.12,353.31,366.78,5891447
2016-01-26,380.79,388.97,369.2,381.15,6197535
2016-01-27,418.32,434.53,400.54,407.29,6704411
2016-01-28,456.0,472.72,444.62,458.52,4585435
2016-01-29,235.2,241.84,222.56,236.87,3317165
2016-02-01,250.23,264.11,239.86,258.54,1799235
2016-02-02,137.59,153.02,136.57,144.79,4326425
2016-02-03,331.31,344.41,326.65,332.07,8171249
2016-02-04,114.38,117.41,104.54,117.07,8243520
2016-02-05,286.24,303.76,280.03,295.77,9403984
2016-02-08,317.06,327.84,313.42,319.31,7768326
2016-02-09,214.62,220.27,204.53,208.95,8265341
2016-02-10,336.33,344.84,329.88,340.81,4194514
2016-02-11,112.2,112.95,107.04,108.47,7287206
2016-02-12,114.94,117.5,105.66,107.69,6461730
2016-02-15,429.04,444.35,426.37,435.9,9717232
2016-02-16,244.08,244.08,225.52,230.9,1687055
2016-02-17,150.82,159.16,133.47,149.62,2421742
2016-02-18,308.9,319.35,294.74,297.65,2464294
2016-02-19,408.0,409.09,405.87,407.98,9831834
2016-02-22,186.33,205.79,170.81,180.72,2515697
2016-02-23,349.16,353.68,333.0,333.0,2673783
2016-02-24,134.14,140.22,118.78,121.51,7765837
2016-02-25,120.67,126.75,118.39,126.2,5131608
2016-02-26,312.54,317.15,299.66,314.83,1472803
2016-02-29,316.25,316.28,299.57,303.47,2534851
2016-03-01,354.97,369.56,343.42,363.77,1593695
2016-03-02,390.44,409.77,377.51,397.14,2646673
2016-03-03,490.34,494.83,481.17,494.43,5090617
2016-03-04,306.52,319.78,295.95,304.85,3663616
2016-03-07,229.18,244.02,228.5,239.08,5813417
2016-03-08,418.07,435.04,405.3,407.19,6115068
2016-03-09,208.33,216.79,206.7,210.7,4243283
2016-03-10,275.59,281.65,266.89,281.11,5721737
2016-03-11,131.38,137.89,125.53,132.19,1420129
2016-03-14,110.14,124.39,99.23,106.48,7349244
2016-03-15,485.06,501.39,482.39,484.68,6906395
2016-03-16,434.39,438.02,420.56,432.85,4802010
2016-03-17,378.39,385.81,362.49,377.53,5346048
2016-03-18,263.58,281.62,260.31,268.28,6412478
2016-03-21,169.32,185.45,167.23,184.56,2880352
2016-03-22,162.57,182.27,159.66,160.17,6103555
2016-03-23,200.1,215.18,182.55,192.46,9800838
2016-03-24,319.69,327.55,309.13,326.1,4743368
2016-03-25,385.84,397.65,376.49,383.28,7775951
2016-03-28,364.08,377.3,361.94,365.82,4448196
2016-03-29,211.97,213.54,198.98,206.76,4372438
2016-03-30,481.95,492.84,464.59,487.86,5888362
2016-03-31,395.16,409.35,378.6,381.77,8155057
2016-04-01,321.74,325.09,309.22,324.18,4955544
2016-04-04,344.69,360.3,343.18,356.79,5722104
2016-04-05,267.84,279.52,265.59,268.12,7978316
2016-04-06,199.09,218.14,198.11,212.37,9467351
2016-04-07,242.39,243.24,237.24,239.55,9736394
2016-04-08,403.14,408.44,400.43,403.65,3488883
2016-04-11,105.76,117.79,100.56,114.05,9992754
2016-04-12,146.43,152.36,138.73,151.85,6748413
2016-04-13,118.4,132.69,99.54,103.74,9342490
2016-04-14,116.29,131.47,104.08,115.6,7478688
2016-04-15,442.18,444.23,425.48,434.5,5313399
2016-04-18,381.46,391.74,367.26,376.47,1951399
2016-04-19,289.67,299.85,287.42,291.93,7381906
2016-04-20,139.13,146.52,124.42,125.57,3404710
2016-04-21,296.65,315.3,291.14,307.71,8977128
2016-04-22,289.39,305.94,276.61,289.4,3845653
2016-04-25,169.28,183.22,162.46,166.51,4112959
2016-04-26,273.54,287.83,253.59,281.53,5460745
2016-04-27,259.4,268.64,254.13,265.77,9387827
2016-04-28,346.34,364.76,340.76,352.43,8438784
2016-04-29,354.04,367.93,335.42,345.13,9606493
2016-05-02,118.12,132.7,117.63,127.25,9853372
2016-05-03,249.85,267.08,235.91,244.89,3250477
2016-05-04,350.34,355.83,335.84,340.55,9980052
2016-05-05,301.25,317.4,284.53,308.54,5254567
2016-05-06,442.6,446.5,423.11,424.05,5051156
2016-05-09,363.48,370.38,343.97,346.47,7914996
2016-05-10,165.17,171.89,163.87,163.92,2167208
2016-05-11,128.23,147.8,111.79,117.3,9201319
2016-05-12,356.97,374.1,344.04,346.12,7308031
2016-05-13,110.6,124.63,97.66,124.51,2322924
2016-05-16,334.31,348.85,331.74,336.68,9046534
2016-05-17,476.09,487.33,463.09,466.71,6407824
2016-05-18,330.19,349.13,310.54,319.84,7976192
2016-05-19,255.27,265.19,237.03,263.39,2770020
2016-05-20,357.32,364.93,348.53,357.06,9531320
2016-05-23,283.3,286.56,282.5,283.98,9515737
2016-05-24,318.25,333.97,311.0,331.06,9155012
2016-05-25,476.59,491.27,460.06,472.39,1443172
2016-05-26,254.44,262.13,240.41,247.69,9708706
2016-05-27,484.48,484.98,475.29,477.3,3022063
2016-05-30,462.14,478.92,461.04,467.79,9149765
2016-05-31,178.32,178.54,169.78,172.55,1757902
2016-06-01,127.74,141.82,118.36,134.25,8163068
2016-06-02,140.31,159.72,121.74,132.74,1366099
2016-06-03,107.29,116.04,94.47,106.92,6128012
2016-06-06,137.78,142.48,131.54,132.26,5738347
2016-06-07,373.2,387.3,362.7,367.4,8079981
2016-06-08,128.48,144.82,127.15,134.35,9644702
2016-06-09,227.59,238.52,208.14,236.6,6527964
2016-06-10,437.95,457.29,430.75,440.76,5893704
2016-06-13,109.31,110.34,99.75,106.78,6895882
2016-06-14,425.79,435.88,418.68,423.07,6851605
2016-06-15,212.74,227.11,199.09,202.65,6330605
2016-06-16,147.27,164.52,134.02,135.81,8717960
2016-06-17,378.69,382.28,364.39,369.85,5304979
2016-06-20,351.58,367.58,346.21,349.58,6514260
2016-06-21,450.99,462.04,444.68,447.7,3956181
2016-06-22,394.03,401.96,391.52,399.46,6458076
2016-06-23,421.39,424.03,408.28,408.53,7426430
2016-06-24,212.81,230.12,212.02,222.12,8971391
2016-06-27,170.98,174.12,159.02,164.75,2016487
2016-06-28,400.25,406.44,382.85,394.8,8696586
2016-06-29,422.73,428.53,404.92,418.21,7434548
2016-06-30,496.2,513.63,487.22,495.5,4728489
2016-07-01,265.05,278.5,255.86,262.54,5435776
2016-07-04,248.81,264.74,247.27,260.08,5494950
2016-07-05,410.57,415.57,397.15,413.2,9281901
2016-07-06,236.32,248.82,219.9,225.47,2126805
2016-07-07,472.3,483.74,467.41,469.0,3804660
2016-07-08,443.37,460.02,434.94,457.46,6594181
2016-07-11,271.6,289.72,254.82,267.03,2678575
2016-07-12,400.35,400.59,382.81,392.61,8974410
2016-07-13,401.82,415.3,396.95,403.55,5025481
2016-07-14,141.25,142.29,130.24,131.75,7228462
2016-07-15,461.02,472.0,457.17,465.91,9340134
2016-07-18,302.1,307.85,300.06,304.15,8017718
2016-07-19,430.58,436.72,412.36,417.31,7061598
2016-07-20,228.02,235.08,211.61,222.21,9297714
2016-07-21,458.21,470.64,443.01,465.03,6613163
2016-07-22,255.68,262.36,254.71,259.23,1734543
2016-07-25,104.34,118.99,87.46,90.52,2360706
2016-07-26,462.15,470.24,453.39,462.63,4987338
2016-07-27,136.51,137.88,129.67,135.44,4924248
2016-07-28,227.73,243.4,216.8,237.89,4399458
2016-07-29,480.02,485.74,478.2,482.94,6060373
2016-08-01,480.24,488.9,465.11,468.74,4019684
2016-08-02,329.38,343.08,317.73,335.73,5671212
2016-08-03,352.73,359.38,349.0,356.03,1248595
2016-08-04,279.38,280.51,275.61,275.73,8968737
2016-08-05,217.28,224.76,213.6,218.2,9194563
2016-08-08,231.47,250.35,230.33,236.99,3276881
2016-08-09,369.01,381.84,357.25,373.71,8479602
2016-08-10,400.95,414.38,384.14,390.68,7496195
2016-08-11,416.63,429.28,416.28,423.96,6530131
2016-08-12,415.85,419.83,414.87,419.4,1920200
2016-08-15,136.48,144.85,125.03,140.84,3816300
2016-08-16,297.77,312.79,281.38,310.32,2178152
2016-08-17,123.02,125.05,116.49,124.87,5204069
2016-08-18,319.81,325.37,312.82,312.95,4523700
2016-08-19,276.61,282.14,264.69,275.55,3107154
2016-08-22,455.08,463.72,449.6,455.43,2846398
2016-08-23,240.37,259.97,239.83,257.15,3272660
2016-08-24,146.83,148.18,132.12,136.17,6501326
2016-08-25,157.2,167.57,144.68,167.14,1477698
2016-08-26,404.6,408.19,392.99,402.32,4132196
2016-08-29,347.29,366.7,332.45,359.63,7537076
2016-08-30,140.45,142.72,126.94,128.29,9919537
2016-08-31,133.64,141.71,129.53,131.76,7723981
2016-09-01,380.39,395.15,373.34,389.88,4423496
2016-09-02,129.11,143.2,126.58,126.95,4155694
2016-09-05,428.74,437.2,426.15,435.17,3317574
2016-09-06,382.5,389.43,368.97,369.26,7187641
2016-09-07,132.54,140.49,115.37,131.88,7346502
2016-09-08,133.94,139.22,114.68,123.64,6232774
2016-09-09,494.66,498.76,482.09,492.28,2405313
2016-09-12,249.71,259.37,246.03,255.31,5361502
2016-09-13,248.26,253.63,246.14,248.71,5163121
2016-09-14,425.12,430.87,408.86,411.24,5535484
2016-09-15,478.9,492.03,467.32,469.05,8984653
2016-09-16,494.4,513.77,482.03,500.73,4686788
2016-09-19,401.35,413.42,385.72,400.15,3673383
2016-09-20,250.5,252.04,236.44,248.02,1331012
2016-09-21,133.4,134.91,116.71,125.99,9387484
2016-09-22,410.86,429.89,409.73,418.25,8289968
2016-09-23,323.36,329.31,308.41,316.73,8659381
2016-09-26,269.69,271.53,252.67,253.17,7951775
2016-09-27,462.54,474.52,456.82,462.76,7729806
2016-09-28,144.48,156.95,131.67,156.35,9938770
2016-09-29,297.05,310.02,290.77,307.59,3752447
2016-09-30,104.54,109.89,85.38,93.45,5719893
2016-10-03,287.46,287.77,286.8,287.37,2368737
2016-10-04,122.52,141.82,110.93,137.1,5478903
2016-10-05,147.53,152.55,144.2,147.88,2551870
2016-10-06,147.01,160.53,132.77,133.26,4335160
2016-10-07,359.68,373.82,356.17,357.48,5186321
2016-10-10,398.42,410.62,393.71,402.34,9289681
2016-10-11,333.35,339.61,323.46,339.11,6275615
2016-10-12,484.87,490.29,466.57,483.01,8150669
2016-10-13,249.95,261.9,245.71,246.86,7155343
2016-10-14,214.28,231.61,211.4,215.23,2680913
2016-10-17,447.44,466.37,432.26,458.57,5609231
2016-10-18,189.44,191.56,179.43,189.63,9522886
2016-10-19,485.29,488.39,467.05,480.23,1281097
2016-10-20,104.86,123.76,101.93,116.0,6605956
2016-10-21,487.95,502.68,475.03,475.82,7550402
2016-10-24,117.26,134.92,112.61,131.1,3176082
2016-10-25,456.46,460.51,453.32,458.99,7478444
2016-10-26,311.08,322.83,297.41,304.0,4408939
2016-10-27,497.19,511.21,485.31,503.66,5537229
2016-10-28,129.52,143.12,114.42,120.59,5952034
2016-10-31,321.54,329.7,315.35,315.93,3458547
2016-11-01,487.72,488.03,478.76,480.63,9306135
2016-11-02,309.24,320.9,301.13,304.66,9640050
2016-11-03,351.76,356.82,332.08,340.43,4420690
2016-11-04,378.3,387.3,372.45,378.67,2320055
2016-11-07,281.82,300.97,275.92,288.66,1317152
2016-11-08,351.02,359.0,343.93,351.12,5892812
2016-11-09,333.73,350.52,322.43,330.04,8596477
2016-11-10,460.46,464.23,455.42,455.67,1073916
2016-11-11,118.18,131.63,99.87,119.09,9814749
2016-11-14,212.39,231.93,207.07,216.91,7070517
2016-11-15,480.16,482.2,462.25,468.21,5598615
2016-11-16,456.11,456.27,454.04,455.97,1609003
2016-11-17,282.26,290.93,269.13,285.41,3333728
2016-11-18,348.05,349.91,329.91,347.06,9445288
2016-11-21,210.95,225.92,207.58,216.66,5700671
2016-11-22,175.25,193.54,155.88,160.81,1018510
2016-11-23,285.48,294.16,276.42,288.77,4460054
2016-11-24,241.34,246.52,222.43,227.39,7982660
2016-11-25,333.46,342.15,319.93,329.73,1936232
2016-11-28,131.09,145.56,125.06,126.39,5948587
2016-11-29,489.76,489.94,485.99,489.25,2968487
2016-11-30,494.48,506.27,488.41,490.66,6475260
2016-12-01,379.26,391.53,377.4,390.16,2419702
2016-12-02,314.44,327.19,311.56,325.07,8793994
2016-12-05,223.81,228.65,221.72,224.94,1052748
2016-12-06,425.52,439.8,417.06,433.99,5097304
2016-12-07,373.89,375.72,357.98,368.97,1028669
2016-12-08,165.05,169.03,162.22,167.69,2969387
2016-12-09,464.37,481.92,461.76,470.47,4949905
2016-12-12,429.01,443.79,416.15,437.87,7986249
2016-12-13,479.92,480.19,475.98,477.93,7317197
2016-12-14,390.29,395.26,388.34,394.85,2201934
2016-12-15,345.37,349.65,342.03,345.74,9392207
2016-12-16,267.3,272.71,248.82,259.87,6008029
2016-12-19,473.09,478.04,456.66,473.45,3600017
2016-12-20,446.43,447.68,439.34,446.19,9306411
2016-12-21,118.09,127.27,104.97,117.33,3362351
2016-12-22,110.55,125.2,99.8,104.37,1645452
2016-12-23,250.59,262.72,237.04,249.05,2655443
